"|","|__0","|__1","|__2","|__3","|__4","|__5","|__6","|__7","|__8","|__9","|__10","|__11","|__12","|__13","|__14","|__15","|__16","|__17","|__18","|__19","|__20","|__21","|__22","|__23","|__24","|__25","|__26","|__27","|__28","|__29","|__30","|__31","|__32","|__33","|__34","|__35","|__36","|__37","|__38","|__39","|__40","|__41","|__42","|__43","|__44","|__45","|__46","|__47","|__48","|__49","|__50","|__51","|__52","|__53","|__54","|__55","|__56","|__57","|__58","|__59","|__60","|__61","|__62","|__63","|__64","|__65","|__66","|__67","|__68","|__69","|__70","|__71","|__72","|__73","|__74","|__75","|__76","|__77","|__78","|__79","|__80","|__81","|__82","|__83","|__84","|__85","|__86","|__87","|__88","|__89","|__90","|__91"
"Date","1996-02-29","1996-05-31","1996-08-31","1996-11-30","1997-02-28","1997-05-31","1997-08-31","1997-11-30","1998-02-28","1998-05-31","1998-08-31","1998-11-30","1999-02-28","1999-05-31","1999-08-31","1999-11-30","2000-02-29","2000-05-31","2000-08-31","2000-11-30","2001-02-28","2001-05-31","2001-08-31","2001-11-30","2002-02-28","2002-05-31","2002-08-31","2002-11-30","2003-02-28","2003-05-31","2003-08-31","2003-11-30","2004-02-29","2004-05-31","2004-08-31","2004-11-30","2005-02-28","2005-05-31","2005-08-31","2005-11-30","2006-02-28","2006-05-31","2006-08-31","2006-11-30","2007-02-28","2007-05-31","2007-08-31","2007-11-30","2008-02-29","2008-05-31","2008-08-31","2008-11-30","2009-02-28","2009-05-31","2009-08-31","2009-11-30","2010-02-28","2010-05-31","2010-08-31","2010-11-30","2011-02-28","2011-05-31","2011-08-31","2011-11-30","2012-02-29","2012-05-31","2012-08-31","2012-11-30","2013-02-28","2013-05-31","2013-08-31","2013-11-30","2014-02-28","2014-05-31","2014-08-31","2014-11-30","2015-02-28","2015-05-31","2015-08-31","2015-11-30","2016-02-29","2016-05-31","2016-08-31","2016-11-30","2017-02-28","2017-05-31","2017-08-31","2017-11-30","2018-02-28","2018-05-31","2018-08-31","2018-11-30"
"Season","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH","POMRB","PREMON","MONSOON","POMKH"
"PY_DES","2.2972610405","2.5233782361","2.3594978877","2.1147409932","1.8519378856","2.0299633578","2.0593640932","1.7813800805","1.6593399935","1.9841769774","1.6288462114","1.7363379755","2.0998868894","2.4537577965","2.4835041293","2.4130259938","2.5261104287","2.4545511132","2.3561966447","2.1540504614","2.4820703608","2.4950060865","2.4515977525","1.956987259","1.7562618538","2.0955697255","2.1573021151","1.9521632828","2.0191356738","2.2596041163","2.1292390152","1.9062766928","1.9340211921","2.1213427115","2.070421416","1.9820329244","3.014665279","4.7825341831","5.6951178091","5.5817809065","5.1968120707","5.0259291218","5.3027287576","5.5528968185","5.3531816496","5.5217940579","5.5675290449","5.3747882146","5.1223186812","5.2403885224","5.408026188","4.3908114734","4.5429071456","5.0769116424","5.3006826845","5.3297754623","5.2369926519","5.396605398","5.6976457947","6.0249336521","7.4920627636","6.493399679","6.9375807235","5.9199027192","6.2226982887","5.9949904235","7.159695217","5.0116984513","5.5656271781","4.7865619754","7.6440411289","8.2735097781","9.0596723389","10.4199600679","10.3932496197","10.9128678295","10.3986136629","11.511137718","11.92509466","11.7281691863","12.2518240217","11.7378739839","11.2441353454","10.9350309186","10.7417969778","11.067551472","11.58385876","8.3176369177","9.520879848","7.0388660486","7.4847554825","null"
"PY_TES","2.340247562","2.2211353068","3.1440211272","0.9595506111","2.6548583456","2.0752580581","2.8351345894","0.7860589211","2.3982298235","1.9385141468","2.8329991035","0.3589448213","2.3774670798","2.4245418175","3.3351662269","1.2603863869","3.0765094274","2.8523286005","3.3123103666","1.1101159341","2.7942050773","2.8057734327","3.3562499607","1.2113354035","2.5829958767","2.0371124743","2.9467933586","0.9154606896","2.5939177465","2.3266437735","3.122715353","0.8836686192","2.5444316032","2.2365950038","2.9776289988","0.824867553","2.6283347447","3.3854736053","5.7855574313","4.6145926307","6.3473226719","5.570820361","5.9197765904","4.1145038182","6.2711936893","5.7087210371","6.4258513965","4.3735763414","6.0630020467","5.4547201637","6.1256042365","4.2084893541","5.0232988527","4.8608574574","5.9763355457","4.112906621","6.0345452472","5.5896399523","6.2977465041","4.5172218738","6.754763273","7.9610929395","7.4060604086","5.7783291623","6.5847556162","6.5774364058","6.8777176976","6.0242331358","5.6220434268","5.8974480586","5.6173994826","6.5759688938","9.102093886","9.5588337048","11.5060316422","9.3320636885","11.7513462472","10.8347496609","12.5478844073","10.8651183557","12.52958427","12.7329735713","12.7099243571","10.0875623026","11.6652305266","11.129538023","12.0260940913","10.4787722716","8.8973408882","9.8887469224","7.8040329901","6.2347114028"
"PY_ARIMA","0.0","2.3199832184","2.4870650408","2.751698723","1.9293106567","1.6444530973","1.5987958985","2.2113820103","1.7976690174","1.4629484482","1.7748272598","1.9450945919","1.1269352669","2.456071917","2.8236663867","2.7756632324","2.5305120097","2.7613881432","2.5462631833","2.0571843678","2.1399761058","2.4650373391","2.8318823916","2.2379767484","2.1506467905","1.4459632306","1.6158046445","2.2688539583","2.1773054357","2.1464512845","2.2126272115","2.0967679448","1.8748602015","2.0842749023","2.010476299","1.9109357178","2.0417455516","3.1917436017","5.7513673428","7.5202598833","7.181466891","5.9436692963","4.5666894512","4.5043201821","6.0652490218","6.4879763469","5.3252904682","5.3659322221","5.6037354377","5.6327820816","5.0001514322","5.0967677389","4.8892226053","3.8460193094","5.3393247947","5.4110528176","5.7089933534","6.1243828882","5.4275873013","5.2930402803","6.4302570753","8.4853119133","8.9201798705","5.0212674082","6.9589671102","5.4436508752","6.637608139","6.1058042003","7.2342442411","3.2098642893","5.9817709837","5.2993864134","12.2487581609","10.4673237957","11.862466584","11.7275374521","10.975212304","12.0361346436","11.2017715493","12.8652924701","12.4862921566","12.8006213114","13.2234044416","10.1050278021","10.5097870248","11.1921030319","11.3040963382","11.3983572075","9.8172488309","5.6998007706","9.7254210925","3.1400637037"
"TN_Trend","null","null","7.2477877296","6.8292286775","6.6474342261","6.598205181","6.4364915059","6.3538782145","6.2206636381","6.0876095524","6.1469427653","6.1175424759","6.2445614519","6.4833263323","6.6981523864","6.9857685375","7.0203333691","7.0424017266","7.1482773425","7.147478059","7.2837734835","7.438679218","7.552027549","7.8025894488","8.0999807008","8.4314785458","8.8230759048","9.2754884626","9.5492136245","9.747277944","10.0158980499","10.0505429262","9.9860904212","9.7220084035","9.2473832536","8.8645564669","8.6337829897","8.411395374","7.8798417177","7.2030188501","6.5952339896","6.221149076","6.2629058233","6.598934589","6.9019736341","7.041705619","7.0685539301","6.7872303689","6.3849168745","6.0872809146","5.9125452408","6.0800068295","6.4988879655","7.051063277","7.5152946605","7.6888359949","7.6573065784","7.4651214536","7.1619252606","6.787146004","6.4893507245","6.1792836755","5.987802191","6.2026703973","6.5636825051","6.855329696","7.3317990671","7.6618279217","7.6823432919","8.018757037","8.3743571542","8.6594835393","9.0363429994","8.9944592248","8.7357080583","8.3749851431","7.8574696315","7.4528078814","8.2594486291","9.1343107492","9.0252602667","9.418627328","9.06411432","8.7596068099","9.4178840315","9.5075577252","9.1748032289","9.207756223","9.2557382701","9.2294211345","null","null"
"TN_SMA","null","null","null","7.4747987818","7.0207766775","6.6376806775","6.6571877748","6.5392225873","6.3337604245","6.3739960045","6.0673312718","6.107887833","6.1859976975","6.0490872543","6.4400356495","6.526617015","6.8696877578","7.1018493173","6.938817421","7.1459860323","7.1505686527","7.1443874653","7.4231595017","7.4541989342","7.6498561637","7.9553227337","8.2446386677","8.6183184237","9.0278333857","9.5231435395","9.5752837095","9.9192721785","10.1125239212","9.9885619312","9.9836189112","9.4603978958","9.0343686115","8.6947443223","8.5728216572","8.2499690907","7.5097143447","6.8963233555","6.2941446238","6.1481535283","6.3776581183","6.8202110598","6.9837362085","7.0996750295","7.0374328308","6.537027907","6.232805842","5.9417559873","5.8833344943","6.2766791648","6.7210967663","7.3810297878","7.6495595333","7.7281124565","7.5865007003","7.343742207","6.9801083143","6.5941836938","6.3845177553","5.9740495958","6.0015547863","6.4037860083","6.723579002","6.98708039","7.6765177443","7.6471380993","7.7175484845","8.3199655895","8.428748719","8.8902183595","9.1824676393","8.8064508103","8.6649653063","8.08500498","7.629934283","7.2756814798","9.2432157785","9.02540572","9.0251148135","9.8121398425","8.3160887975","9.2031248222","9.6326432407","9.3824722097","8.967134248","9.448378198","9.0630983422","9.3957439267"
"TN_EWMA","6.896779661","7.6683781966","7.9183412036","7.1043462229","6.2948842314","6.6942873388","7.3650980445","6.5836560275","5.6537306537","6.3739721202","6.6822453409","6.2388349034","5.5718137624","6.1057652762","7.1468386669","6.6561210838","6.3710986591","6.9567947094","7.3966052929","7.1374508373","6.667228704","7.1245828364","7.9433134274","7.5151388101","7.2068930548","7.9371279589","8.8937459953","8.6832859604","8.5630052842","9.5432915425","9.9408684175","9.8619409641","9.5794010749","9.9547898329","10.1798585598","9.1681814247","8.4814984964","8.752649423","9.2634980498","8.1018010123","6.6572626554","6.6766823356","7.0544318266","6.5427755255","6.0890547073","7.0438422732","7.5363680271","7.0174393595","6.2742654897","6.3543208646","6.635899878","6.0114787024","5.5772147066","6.5654418676","7.4736406421","7.5700159953","6.9419846752","7.5099885259","7.8137898271","7.3856919171","6.2495759999","6.4770639279","6.8585695667","6.1558107056","5.5556555778","6.7042816299","7.5065689779","6.9662125732","7.1449964651","7.6108787303","8.1631838546","8.3240488671","8.1337512487","8.9424830252","9.4297452791","8.4823587955","8.0023603993","7.9357119936","8.0975695449","7.1162488698","10.3307493219","8.9842492535","8.7262264505","8.7526830595","8.9189281637","9.5564141982","9.7567548869","8.9707264718","8.3852134723","10.0061757034","9.4101640208","9.2950048873"
"TN_DES","7.0504297891","7.3889887874","7.5526752975","7.2016107691","6.7610981884","6.8518835478","7.1397523904","6.7778611185","6.2587607162","6.4832708614","6.6004978215","6.3800515239","6.0038221719","6.1704197776","6.663442087","6.4994882098","6.3733819657","6.6508680068","6.9164207213","6.8669438977","6.6702122519","6.8827461372","7.3242855718","7.2171648157","7.1060477852","7.4746751432","8.0278387125","8.0772200107","8.1196134585","8.6793053133","9.0306109511","9.152263921","9.1318104811","9.3877630341","9.5918871128","9.1817742374","8.8147632177","8.8632991408","9.0759830377","8.5120649226","7.6886492179","7.4744743189","7.4865236887","7.1272352939","6.7672711266","7.0931738237","7.3130422932","7.0815147859","6.6810341281","6.6243200215","6.6957652917","6.3563520951","6.0557731561","6.4399304345","6.9039460724","7.0500317535","6.823888253","7.1155542499","7.3297658344","7.1956883664","6.6493881724","6.667803534","6.8049188925","6.4487994112","6.0754879204","6.5314954045","6.9518286149","6.7766658257","6.8882436098","7.156447483","7.5067232721","7.7009823436","7.7126571018","8.1831126352","8.5594664564","8.240282336","8.0298147416","7.9724976422","8.0276230189","7.5327530498","9.0382836379","8.6029536055","8.5303862991","8.5630634741","8.6642686545","9.0136995251","9.2014720203","8.8984743089","8.599824833","9.3470175028","9.1593885747","null"
"TN_TES","6.2656902384","8.2443661257","8.6877971559","6.6861646402","6.3636000805","7.7968433874","7.9311212224","6.167354614","5.8581692018","7.201242854","7.5511129022","5.5460760497","5.4601662062","7.0056948287","7.2552286303","5.7801446579","5.7262246792","7.5869943839","7.9355116598","6.0807302889","6.1772999165","7.914750236","8.1628210233","6.5610302024","6.5561098995","8.4086366057","8.8641600169","7.3922941881","7.5764388396","9.6050004828","10.2841904216","8.4670917511","8.7370569953","10.6551609787","10.8937844867","8.8973351826","8.4482841304","9.9630570894","10.0117783351","8.1276972189","7.5299565784","8.4626232301","8.2397307446","6.1742183723","5.966748624","7.6064909822","8.1320284317","6.2836072317","6.1771213754","7.685965054","7.6184526728","5.5696083269","5.3348287133","7.0171071982","7.5885655449","6.0548213384","6.4340155843","8.1091504664","8.4589499473","6.5157515162","6.4868785666","7.7324496919","7.7496895334","5.7696149989","5.4854838946","7.0477753645","7.7186227694","6.1119273082","6.0306076119","8.2234316014","8.5257626432","6.7693157858","7.1873437593","9.1745321753","9.7318483325","7.9648323356","7.6135591945","9.3180122443","9.1733550706","7.0467665851","6.5533088261","10.8026567365","9.9866424812","7.6279596726","7.8659940754","10.0359455122","10.4495366977","8.4485427047","8.1675701336","9.778145496","10.8137628721","8.2698020499"
"TN_ARIMA","0.0","6.6392677222","7.7223082172","7.9143320366","7.1179601176","7.7258806506","7.4029820802","6.3957328749","5.8621386826","6.6714742767","7.2963095692","5.8607268195","5.2649475087","6.6777127196","6.5599690632","6.1273635047","5.6146529212","6.7699016242","7.7806248215","6.4896749882","6.5341657677","7.3440171212","7.5133881879","7.132394132","6.7138929643","7.5926132807","8.4485937629","7.6285199778","7.6711109262","8.8591783136","9.7896541869","8.9607321929","9.0771485818","10.3335487618","10.1270111222","9.8001482967","9.19365263","9.5761083172","9.5075140565","8.2146759843","7.8376968263","8.1468547206","8.341496042","6.4828827254","5.4836275354","6.521831092","7.2430118224","6.513026231","6.2924441562","7.5784178705","7.3137612031","6.3021955735","5.6014204046","6.1222230737","6.6818817373","6.0535344568","6.2243152289","7.670969054","8.1432422529","7.6228650726","6.6707411489","7.4734142511","7.3270997454","6.611639242","5.3365155432","6.31229545","6.9136981949","6.0676023576","5.8632053936","7.8830693975","8.0755397867","6.9907197621","7.8173098263","8.2424304519","8.845146249","8.8313338944","8.2203810394","9.1724828329","8.9700992219","7.3959292613","7.2351061018","8.669648758","8.6493666886","7.3137989223","12.0511695743","7.7199007047","8.782787999","9.1809984111","9.1463393002","9.5356112514","9.7437735725","8.4763171661"
"WB_Trend","null","null","4.3255251849","4.410614197","4.4030655451","4.414830326","4.4193374396","4.315904684","4.3226112556","4.3391403394","4.3040046431","4.5015661075","4.6156235503","4.5776211888","4.5428644105","4.4063823068","4.3392916815","4.4202076571","4.5360935299","4.5941533484","4.585428796","4.6048694702","4.6902250527","4.7463249111","4.7729014973","4.7701046246","4.664413693","4.5855351213","4.6280409013","4.5931687591","4.4527126278","4.4346175494","4.5098279472","4.6250964784","4.7783969618","4.8558914232","4.8852611192","4.910063039","4.8764508398","4.879935361","4.8502692336","4.8220750569","4.9430763694","5.0117087653","4.9378907806","4.8014451757","4.6654375631","4.5519299659","4.5156634272","4.5974110156","4.7079030885","4.7619733438","4.8666095319","5.0245606485","5.1114612809","5.2831953305","5.6061898573","5.897202478","6.0726022484","6.1687096952","5.9635897039","5.6081353985","5.3910750664","5.2043242369","5.272863784","5.5833221701","5.8993845908","6.2243017569","6.4141028419","6.2924399861","6.061081691","5.908537171","5.8635104762","6.110174354","6.4772344134","6.5891195836","6.5180085539","6.5073365584","6.6755517666","6.7684026478","6.5793010033","6.2434896925","5.8166162136","5.5335398726","5.5844515565","5.6421820445","5.6352058991","5.768558257","5.8832304679","6.087529324","null","null"
"WB_SMA","null","null","null","4.249214107","4.4018362628","4.4193921313","4.386738959","4.442921693","4.3957531863","4.2360561818","4.4091663295","4.2691143493","4.338894937","4.664237278","4.5670098225","4.588232555","4.497496266","4.3152683475","4.3633150155","4.4771002987","4.595086761","4.5932199357","4.5776376562","4.6321012842","4.7483488212","4.744301001","4.8015019935","4.7387072557","4.5901201302","4.5809501122","4.6751316902","4.511205828","4.3942194275","4.4750156713","4.5446402233","4.7055527335","4.85124119","4.8605416565","4.909980582","4.910145496","4.8427561835","4.9171145385","4.7834239287","4.860726185","5.0254265537","4.9979909767","4.8777905845","4.725099767","4.6057753592","4.4980845725","4.533242282","4.6615797492","4.7542264277","4.7697202597","4.963498804","5.085622493","5.1373000687","5.4290905922","5.7832891222","6.0111158337","6.134088663","6.2033307275","5.7238486802","5.4924221167","5.289728016","5.1189204577","5.4268071102","5.73983723","6.0589319515","6.3896715623","6.4385341215","6.1463458508","5.9758175312","5.8412568108","5.8857641417","6.3345845663","6.6198842605","6.5583549068","6.477662201","6.5370109158","6.8140926175","6.722712678","6.4358893285","6.0510900565","5.5821423708","5.4849373745","5.6839657385","5.6003983505","5.6700134478","5.8671030663","5.8993578695","6.2757007785"
"WB_EWMA","4.350236686","5.1163320568","4.1917378845","3.9455619319","4.3516272827","5.1452558044","4.1568470575","4.0145198101","4.3175323988","4.8692836669","4.2682400113","3.857272414","4.3348329016","5.4002117142","4.4312329109","3.9890245257","4.2687061062","5.0689709673","4.3093631316","4.0979591114","4.5228451972","5.2184675015","4.3741294049","4.2239606802","4.7844421977","5.3689491894","4.5559400056","4.2325754602","4.5518716649","5.2147348409","4.6141019214","4.00519123","4.228262886","5.1498435636","4.6865664382","4.3061299565","4.6419276523","5.4129231698","4.9235164827","4.4485638456","4.6195650858","5.5184789979","4.7729450039","4.4819045683","4.9030901094","5.6446970888","4.6563552309","4.1676453965","4.5236155539","5.2447070968","4.4726135709","4.2627403481","4.7289072105","5.3926722219","4.8714383167","4.697433098","5.0724069816","6.0656369222","5.8419347849","5.6442537173","5.83725588","6.6353335644","5.4165814946","5.0187592416","5.1376486334","5.9422771232","5.4933662739","5.5656783008","5.9763516233","6.9746822944","6.1909894714","5.516750986","5.6741499232","6.5780641215","6.0242302973","6.1348081608","6.5014637389","6.9760054449","6.1338867622","6.2955599833","7.0412455552","7.1536666315","5.7815661149","5.4684887597","5.7946865238","6.2502032187","5.5579334496","5.2006013398","5.7453382275","6.5359376305","5.7809817819","5.9365789935"
"WB_DES","7.4363790755","9.1942908769","7.5514114198","6.1873634745","5.7598587719","6.2045467092","4.3850958005","3.7561891173","3.978840851","4.8140749472","4.075196001","3.4782253048","4.1774402282","6.0610094917","4.8952795951","4.104799506","4.3235603383","5.5188509827","4.4942364881","4.0438091268","4.565369105","5.6917496054","4.5635189966","4.1938664574","4.931698092","5.9059395933","4.7936405329","4.1583830459","4.4840131862","5.5143982418","4.7420387048","3.7863895102","3.9881529708","5.4601264166","4.976232925","4.3751088278","4.760632164","5.9708233912","5.3462831431","4.5253226972","4.5921020078","5.9327613083","4.9547294056","4.4063275504","4.9184153448","6.1157836124","4.7927848218","3.9395688391","4.3234409211","5.4809939596","4.5069939788","4.1211697233","4.760370007","5.8858981589","5.2441100835","4.8766539425","5.3093144776","6.8709873082","6.6728822444","6.2523806697","6.3162658025","7.3872025457","5.5872342034","4.73815871","4.7312165529","5.9552689983","5.4817188374","5.6019153276","6.2513244194","7.9339680094","6.9198421317","5.7154213809","5.6469294528","6.9005319304","6.1705664048","6.2372922557","6.7452808212","7.5028054726","6.2996806255","6.3473990766","7.4089779047","7.6660184901","5.6756937569","4.9865710708","5.3541253019","6.1292880296","5.2928032858","4.7792007124","5.6037753629","7.023264636","6.1223008661","null"
"WB_TES","4.6221547261","5.863487509","2.9907301929","3.415581426","4.7456426569","6.1348358185","3.2010141244","3.5223642656","4.8882362263","6.1768518054","3.0363282736","3.6179142674","4.7846887392","6.189488357","3.4402425479","3.7811158013","4.9241140532","6.1763868077","3.209810802","3.6789970544","4.9911873799","6.3663852256","3.339855802","3.7506345195","5.1072184327","6.5883652531","3.4895236122","3.9243292002","5.1519153991","6.439038871","3.3743982617","3.9585370525","4.9766563082","6.1749159672","3.2885904339","3.9833377501","5.1893485218","6.4999641816","3.526244378","4.208878017","5.3466118174","6.527638652","3.6358215256","4.1228244461","5.3805656265","6.7513051536","3.7582603418","4.0621108493","5.1528490781","6.4478122172","3.4161263483","3.8665511667","5.1725244793","6.5740293144","3.522838725","4.1761998944","5.5364734204","6.8902383549","4.0974092892","5.0064815818","6.3913555054","7.6349112486","4.7000803629","4.8438626513","5.9970523442","7.1141608517","4.1299987628","4.8207811558","6.3611404155","7.7552334686","4.9781016739","5.470729376","6.4589048956","7.6162159019","4.7178735888","5.3435625115","6.9154209236","8.2806114098","5.1058243445","5.515728026","7.1073910005","8.7508005024","5.3222802716","5.3181301436","6.5024644019","7.7600213644","4.5142645461","4.9971509916","6.1774500943","7.6182306099","4.6548804072","5.1342459444"
